col1,col2
b,100032886
b,100100628
b,10021276
b,100228113
b,100228899
b,100278264
b,10031105
b,100365910
b,10040606
b,100434874
b,100470220
b,100472029
b,10049833
b,10075274
b,10077467
b,100783728
b,10087702
b,1009812
b,101000774
b,101011221
b,101017896
b,101070022
b,101112723
b,10116757
b,101318988
b,101322954
b,101467168
b,10160888
b,101637641
b,101690968
b,101702265
b,101776707
b,10178453
b,101847986
b,102019847
b,10204642
b,102065966
b,102076409
b,102086174
b,10210434
b,102130994
b,102147642
b,10218260
b,10218588
b,10218663
b,102208803
b,102337001
b,102354060
b,102417659
b,102564258
b,10257429
b,102591536
b,10260103
b,10264111
b,102726338
b,102749985
b,102851216
b,102897636
b,102902095
b,103143152
b,103306468
b,10338596
b,10345977
b,103494786
b,103626748
b,103881170
b,104159820
b,10428855
b,104291503
b,104298494
b,104318274
b,104388946
b,104472039
b,10456530
b,104594520
b,104696932
b,104710359
b,10480165
b,104849842
b,104995009
b,10518251
b,105226812
b,105330131
b,105336905
b,1054395
b,10552551
b,105553311
b,105563823
b,105575157
b,105601122
b,10570067
b,10579694
b,105827473
b,10594643
b,106035994
b,106053274
b,106104067
b,106171413
b,106289663
b,106290023
b,106336087
b,106340252
b,10637856
b,106399632
b,10645816
b,10663710
b,106738283
b,106748343
b,10677057
b,106820621
b,106930695
b,107157049
b,10730869
b,107341801
b,10738623
b,10762331
b,107649054
b,10766579
b,107779857
b,107791284
b,107794202
b,107928154
b,10804403
b,10814494
b,108242880
b,10847326
b,108544275
b,108625448
b,108825162
b,109022930
b,109076018
b,10909598
b,10915548
b,109168828
b,10921702
b,109318799
b,109324240
b,109350984
b,109357602
b,1094125
b,109521137
b,110025658
b,110108738
b,110146729
b,110167876
b,110209
b,110299664
b,110343135
b,110371240
b,110438316
b,110616053
b,110661221
b,110885171
b,11089287
b,110944617
b,110958833
b,111012688
b,111089564
b,11115165
b,111207058
b,11129988
b,111581182
b,111612394
b,111656289
b,11178217
b,111880217
b,11200361
b,112009234
b,112011368
b,112031856
b,112065656
b,112066814
b,112100260
b,11218290
b,11245046
b,11248999
b,112520090
b,112564486
b,112586860
b,112659839
b,1127201
b,11278819
b,112788666
b,112916616
b,112919083
b,112919144
b,112978285
b,112992826
b,11316320
b,113304060
b,1134061
b,113437977
b,113471997
b,113578637
b,113738063
b,11374845
b,113772834
b,113775203
b,11383483
b,113840198
b,114052332
b,114053841
b,114106046
b,114121855
b,114227761
b,11423134
b,11424163
b,114364340
b,114436835
b,11448244
b,11459990
b,114827278
b,114839754
b,114996731
b,11500044
b,115053310
b,1150804
b,11517682
b,115197766
b,1152060
b,115214327
b,115220176
b,115302116
b,1154985
b,11569804
b,11582585
b,11590241
b,11593292
b,1159434
b,115949234
b,115963288
b,116015590
b,11609668
b,116124942
b,116180694
b,116306454
b,116491477
b,11663207
b,11691706
b,11692704
b,11693813
b,117246114
b,11771494
b,11789161
b,11792317
b,11792529
b,117933477
b,117964371
b,117989241
b,118008593
b,118010055
b,1180192
b,118037120
b,118081721
b,11813223
b,118176388
b,11821937
b,118522799
b,118533152
b,118625744
b,118657774
b,11868173
b,118708268
b,118722599
b,118832248
b,118834687
b,11891370
b,11892943
b,119000351
b,11906524
b,11930147
b,119305988
b,119444161
b,119445704
b,119497423
b,11951967
b,11952176
b,119655854
b,119712808
b,11977441
b,119793458
b,119824271
b,119881514
b,119974238
b,12000919
b,120037513
b,120057173
b,120103666
b,120137108
b,12021296
b,120214495
b,120224115
b,120278236
b,120443235
b,1204554
b,120526997
b,120618442
b,12064036
b,120790345
b,12105176
b,121089403
b,1210965
b,121106
b,121132703
b,12116420
b,12118243
b,121192143
b,121267437
b,1213709
b,121415523
b,12144673
b,121504615
b,121643361
b,121804190
b,121823930
b,12183964
b,121900001
b,121960961
b,122034177
b,122183316
b,122245858
b,12224849
b,122282207
b,122313161
b,122391331
b,122419949
b,12248030
b,12252308
b,12259969
b,122600887
b,122605753
b,122726713
b,122730139
b,122730903
b,122810514
b,123064381
b,123066604
b,12309950
b,12327272
b,123294903
b,12333373
b,12334033
b,12337794
b,12339320
b,123414401
b,123415138
b,123524428
b,123529313
b,123550939
b,123618182
b,123773730
b,123799035
b,12387616
b,123913800
b,12399605
b,12401757
b,124020605
b,124023570
b,124227652
b,124236788
b,12432963
b,12441745
b,12443668
b,124439552
b,124541745
b,124635877
b,124772761
b,12511191
b,1251256
b,125177698
b,12522978
b,125242895
b,125353190
b,12535825
b,125365457
b,12536723
b,125403504
b,125441037
b,125602098
b,125659792
b,125742839
b,125831095
b,12593041
b,12594015
b,12598248
b,126027536
b,12604779
b,126409646
b,1265698
b,126608695
b,126695551
b,12686229
b,12693018
b,12697632
b,12717156
b,12723127
b,12727000
b,12733436
b,127455931
b,127801310
b,127830903
b,12803909
b,128087009
b,128249414
b,128281510
b,12839526
b,128406745
b,12854106
b,12886621
b,1288832
b,1289164
b,12891905
b,128931600
b,12898723
b,12901252
b,12902397
b,129030381
b,12918687
b,129268110
b,1296076
b,129756994
b,1299379
b,130051260
b,130138679
b,130486993
b,130605392
b,130748302
b,1308709
b,13090541
b,13091038
b,13144408
b,13149149
b,131626139
b,131680911
b,131696037
b,131702492
b,131702942
b,131704715
b,13170635
b,131745325
b,131782725
b,131790828
b,131793648
b,131794235
b,131895796
b,131922502
b,131925869
b,131961482
b,131962617
b,131968678
b,132091989
b,132095164
b,132095685
b,132133779
b,132142721
b,132158302
b,13224227
b,132326236
b,132366701
b,13236920
b,132380963
b,132406841
b,132444498
b,13244777
b,132481956
b,132515541
b,132690521
b,13271917
b,132781214
b,132859711
b,132917236
b,132917490
b,132921483
b,132930878
b,132936749
b,132991855
b,13302485
b,133034019
b,133107436
b,133238010
b,133275906
b,13329112
b,133293837
b,133324488
b,133338430
b,133354874
b,133368192
b,133432039
b,133437834
b,133508904
b,133515130
b,133517167
b,133523481
b,133545044
b,13356934
b,133570605
b,133577554
b,133593816
b,133619590
b,13365931
b,13370196
b,13371691
b,13379154
b,133856904
b,133862647
b,133864243
b,13388396
b,133969719
b,133978626
b,13400957
b,134016767
b,134032099
b,134038793
b,13403941
b,134040004
b,134059107
b,134096361
b,134104146
b,13412268
b,134124513
b,134196317
b,134274978
b,134331014
b,134336744
b,134362363
b,134405611
b,134418159
b,134447742
b,134490008
b,13450386
b,13450431
b,134525026
b,134554211
b,134581211
b,134630877
b,134644652
b,134679435
b,134685469
b,13472293
b,134762346
b,134782397
b,134799849
b,134809259
b,13486782
b,134882528
b,134943358
b,134964217
b,134972113
b,135020425
b,135038227
b,13504289
b,135065180
b,135098572
b,135099055
b,135149873
b,135213349
b,135238853
b,13539874
b,135400884
b,135452785
b,135475118
b,135483475
b,135488786
b,135489561
b,135506757
b,135536598
b,13556457
b,135569397
b,135585052
b,135593440
b,135600223
b,135617455
b,135667256
b,135686721
b,135696374
b,135718047
b,135733566
b,135735190
b,135754339
b,135773643
b,135800254
b,13583801
b,135855600
b,135869256
b,135900833
b,135909135
b,135947171
b,136065848
b,136145553
b,136166039
b,136271666
b,136284891
b,136298426
b,13631740
b,136359925
b,136390161
b,136416877
b,136438079
b,136449588
b,136503467
b,136523521
b,136573727
b,136587288
b,136593565
b,136600923
b,136636666
b,136641373
b,136647566
b,136664548
b,136669995
b,136717359
b,136819844
b,136823723
b,136833881
b,136869700
b,136881336
b,136886345
b,136924645
b,136975084
b,136983304
b,137035943
b,137072288
b,137129159
b,137135078
b,137199132
b,137242627
b,137281850
b,137286661
b,137301022
b,137323047
b,137333161
b,13733518
b,137415984
b,137429660
b,137459711
b,13748558
b,137522682
b,137543234
b,137645859
b,137652914
b,137703931
b,137770820
b,137795468
b,137797287
b,137863777
b,137865054
b,13788793
b,137948429
b,137949171
b,137956546
b,137968226
b,137973175
b,137982849
b,138001542
b,138010317
b,138019034
b,138025874
b,138035778
b,138046022
b,138168145
b,138183680
b,13821483
b,138254694
b,138260199
b,138378601
b,138381612
b,138412103
b,138417988
b,13842819
b,138432152
b,138470201
b,138496723
b,13851050
b,138558804
b,138564224
b,1386
b,138637233
b,138780645
b,138787651
b,138795391
b,138809753
b,138819681
b,138980316
b,139039109
b,139059552
b,13909366
b,139128216
b,13924838
b,13925540
b,139258315
b,13927512
b,139372639
b,1394017
b,13941107
b,139478881
b,13948414
b,139536948
b,139555398
b,139556188
b,139622125
b,139671412
b,139684311
b,139694136
b,139696281
b,139731366
b,139750820
b,139763434
b,139803736
b,139856243
b,139872208
b,139921973
b,139956754
b,139999921
b,140002909
b,140038108
b,140106227
b,140128379
b,140130287
b,140138159
b,140193968
b,140196080
b,140292916
b,140328714
b,14044322
b,140475862
b,14048802
b,14049357
b,140530032
b,140537334
b,14055267
b,14058293
b,140700129
b,140708425
b,140727015
b,140769018
b,140925927
b,141000930
b,141023715
b,141056013
b,141102825
b,141121411
b,141125112
b,141144314
b,141150749
b,141161174
b,141166422
b,141172917
b,141195424
b,141202115
b,141299919
b,141342224
b,141352929
b,14136933
b,141371549
b,141408395
b,141464157
b,141492604
b,14156856
b,141590997
b,141605236
b,141712206
b,141778372
b,141782468
b,14182774
b,14184258
b,141864613
b,141952926
b,141980188
b,14204227
b,142100860
b,142131365
b,142162336
b,142185674
b,14218973
b,142199515
b,142217026
b,142335010
b,142372122
b,14241393
b,142435843
b,142441299
b,14248811
b,142501267
b,142515253
b,142540683
b,142601208
b,142607097
b,142631463
b,1426515
b,142674825
b,142692811
b,142733066
b,142774415
b,142785375
b,142789649
b,142962983
b,142994327
b,14301683
b,143028070
b,143039202
b,143078372
b,143078890
b,143121063
b,143146727
b,14318492
b,143272002
b,14329143
b,14330673
b,143316373
b,143413423
b,143438133
b,143468490
b,143489282
b,143500254
b,143585125
b,143588117
b,143611606
b,143663169
b,143705674
b,143791042
b,143807427
b,14381274
b,143858565
b,143896292
b,143913328
b,143992843
b,144051828
b,14408016
b,144081113
b,144089755
b,144110455
b,14411317
b,14417961
b,144181038
b,1442066
b,144220802
b,14422176
b,144251564
b,144280636
b,144339506
b,144414699
b,144476308
b,144525163
b,144552263
b,144553631
b,1446086
b,144614690
b,144616840
b,144682992
b,14477271
b,144777932
b,144780321
b,14484186
b,14485012
b,144868193
b,144901919
b,144929782
b,144956595
b,14497617
b,145081189
b,145090579
b,145178142
b,145184955
b,145222583
b,1452289
b,145281366
b,145345616
b,145348302
b,145363825
b,145387295
b,14544892
b,14547762
b,145491029
b,145539715
b,145554601
b,14557327
b,145594653
b,145687756
b,145694118
b,145726210
b,14582122
b,145844789
b,145860254
b,14586253
b,145874191
b,145908405
b,14593855
b,146025798
b,146214628
b,146235264
b,14624218
b,146316201
b,146366590
b,14643306
b,146436434
b,146525243
b,1465967
b,146652862
b,146686955
b,146699924
b,146709316
b,1467418
b,146757595
b,146790703
b,14686946
b,146878554
b,146903648
b,146999792
b,147009973
b,147026499
b,147028978
b,147046933
b,147074395
b,147147905
b,147162121
b,147268452
b,147293569
b,147368211
b,147396834
b,147403614
b,147417076
b,147451339
b,14752089
b,147607466
b,147671042
b,147754069
b,147760731
b,147818795
b,147871277
b,147874394
b,147883316
b,147891437
b,147911120
b,147940246
b,147978215
b,148030172
b,148039646
b,148109401
b,148227122
b,148228894
b,148248688
b,148286206
b,148406661
b,148508682
b,148633403
b,148644444
b,14867470
b,14871670
b,148883117
b,148930550
b,149053069
b,149061324
b,149085096
b,14913601
b,149236882
b,149413980
b,14950360
b,14970339
b,14971842
b,149840070
b,15008740
b,150290001
b,150402967
b,150411062
b,150441979
b,150448458
b,150529182
b,150539765
b,150564619
b,150598046
b,150646293
b,150734999
b,150789760
b,150845740
b,150862326
b,150908088
b,150947857
b,150953967
b,150959841
b,150977768
b,151047314
b,151117371
b,15113673
b,15118120
b,151184254
b,151297139
b,151329750
b,151369184
b,151406430
b,15143546
b,15145178
b,151486709
b,151493708
b,151590232
b,151605969
b,151626090
b,15162933
b,151630479
b,151641163
b,151643908
b,151650477
b,151693874
b,151701700
b,151739030
b,151759667
b,151800381
b,151827274
b,151911806
b,151938846
b,15196875
b,151974610
b,151979597
b,152194125
b,152208387
b,152287441
b,152319396
b,152385368
b,152420607
b,152435988
b,152522648
b,152567607
b,152610719
b,152658429
b,152726152
b,152729291
b,152844356
b,152905266
b,152919657
b,152941034
b,153009216
b,153032150
b,153087256
b,153120606
b,153144227
b,153163787
b,153174765
b,1531900
b,153220625
b,153258113
b,153330780
b,153390591
b,153399460
b,153414118
b,153414275
b,153455516
b,153475686
b,153495730
b,153502298
b,153535967
b,153543760
b,153608403
b,15369399
b,153707849
b,153709339
b,153725764
b,153747281
b,153758658
b,153770771
b,153787937
b,153806297
b,153892054
b,153932452
b,153979679
b,15399152
b,154003243
b,154063073
b,154081598
b,154203528
b,154232969
b,154367389
b,15437606
b,154405634
b,15447629
b,154502187
b,154506120
b,154532786
b,154536225
b,154557166
b,154570794
b,154649210
b,15470803
b,154710636
b,154722979
b,154756745
b,154854509
b,154906187
b,154916438
b,154958736
b,15519028
b,155194290
b,155236563
b,155254393
b,155302124
b,155310961
b,155397510
b,155398585
b,155516472
b,155586685
b,155652176
b,155713748
b,155751
b,155766367
b,155783249
b,155800720
b,155804844
b,155852260
b,155854022
b,15593362
b,1559405
b,156092491
b,156135334
b,156152605
b,156156469
b,156203385
b,1562371
b,15626842
b,156274718
b,15630161
b,156437689
b,15657174
b,15657393
b,156606979
b,156625262
b,156686893
b,156702794
b,156782778
b,156828352
b,1568378
b,1568809
b,15691616
b,156925124
b,156960444
b,157003226
b,15707338
b,157300589
b,15734073
b,15735432
b,157380686
b,157386964
b,15738835
b,157400964
b,157406419
b,15744567
b,157510116
b,157541621
b,157599788
b,157607565
b,157640355
b,157895564
b,15791384
b,157941131
b,157950356
b,158034366
b,15812149
b,158168915
b,158267187
b,158307950
b,158352187
b,158372942
b,158427119
b,158522661
b,158556669
b,158669554
b,15872006
b,158757819
b,158833584
b,158859718
b,158986481
b,15917345
b,159216422
b,15924236
b,159246070
b,159270
b,15928657
b,159286797
b,159307725
b,159454647
b,159510055
b,159577572
b,159618666
b,159650357
b,159716324
b,159762379
b,159790289
b,159840988
b,159847749
b,159848403
b,159977282
b,159982918
b,160090596
b,160130225
b,160148687
b,160197548
b,160201932
b,160234746
b,160257008
b,160267172
b,160359853
b,160388523
b,160425832
b,160469429
b,160588967
b,160637997
b,160643861
b,160712209
b,160712811
b,160718707
b,160721023
b,160729092
b,160736068
b,16082809
b,160880689
b,160940500
b,160973987
b,161038820
b,161046120
b,161057714
b,16114755
b,161152643
b,161181823
